City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Port Lincoln,AU,-34.7333,135.8667,55.45,75,94,12.46,overcast clouds
308,Sioux Lookout,CA,50.1001,-91.917,64.78,48,40,0.0,scattered clouds
309,Verkhnevilyuysk,RU,63.4453,120.3167,32.54,80,100,8.7,overcast clouds
310,Canete,CL,-37.8,-73.4,55.71,46,35,11.39,scattered clouds
311,Manaure,CO,11.7751,-72.4445,92.26,53,72,12.91,broken clouds
312,Gweta,BW,-20.1833,25.2333,76.82,15,0,7.72,clear sky
313,Puerto Leguizamo,CO,-0.1934,-74.7819,93.78,39,51,0.76,broken clouds
314,Muros,ES,42.7762,-9.0603,68.23,81,100,14.03,overcast clouds
315,Charters Towers,AU,-20.1,146.2667,61.25,95,4,7.67,clear sky
316,Pahrump,US,36.2083,-115.9839,87.94,28,15,3.0,few clouds
317,Sao Borja,BR,-28.6606,-56.0044,85.95,31,0,5.64,clear sky
318,Cambridge,CA,43.3601,-80.3127,68.23,56,90,4.0,overcast clouds
319,Ambon,ID,-3.6954,128.1814,75.34,100,40,5.75,scattered clouds
320,Alice Springs,AU,-23.7,133.8833,65.75,18,0,9.22,clear sky
321,Poretskoye,RU,55.1974,46.3291,48.96,95,100,8.34,light rain
322,Mokrousovo,RU,55.8103,66.7653,38.46,60,86,16.82,overcast clouds
323,Takoradi,GH,4.8845,-1.7554,74.73,92,100,8.21,overcast clouds
324,Achutupo,PA,9.2,-77.9833,85.28,76,100,5.41,overcast clouds
325,Palauig,PH,15.435,119.9045,81.7,77,59,3.8,broken clouds
326,Cayenne,GF,4.9333,-52.3333,89.64,74,71,7.0,broken clouds
327,Scarborough,GB,54.2797,-0.4044,65.08,75,91,1.99,overcast clouds
328,Vostok,RU,46.4856,135.8833,44.98,93,1,3.74,clear sky
329,Pangnirtung,CA,66.1451,-65.7125,35.6,69,20,5.75,few clouds
330,Karaton,ID,-6.3424,106.1045,81.95,91,28,0.49,scattered clouds
331,Qandala,SO,11.472,49.8728,89.56,53,5,4.99,clear sky
332,Taloqan,AF,36.7361,69.5345,70.18,17,0,2.77,clear sky
333,Anjar,IN,23.1333,70.0167,82.45,73,97,11.25,overcast clouds
334,Mount Hagen,PG,-5.8581,144.2274,59.63,99,100,1.01,overcast clouds
335,Port Augusta,AU,-32.5,137.7667,55.71,41,51,6.17,broken clouds
336,Kasongo-Lunda,CD,-6.4667,16.8167,76.93,64,88,0.49,light rain
337,Goderich,CA,43.7501,-81.7165,63.21,67,69,10.36,broken clouds
338,Sorong,ID,-0.8833,131.25,78.33,85,80,2.98,broken clouds
339,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,8.05,scattered clouds
340,Roswell,US,34.0232,-84.3616,80.78,57,20,4.0,few clouds
341,Buchanan,LR,5.8808,-10.0467,80.56,90,100,9.04,moderate rain
342,Katangli,RU,51.7102,143.2326,49.3,80,87,3.96,overcast clouds
343,Lyuban,BY,52.7985,28.0048,47.75,83,0,7.92,clear sky
344,Qaqortoq,GL,60.7167,-46.0333,45.1,50,1,1.01,clear sky
345,Terra Santa,BR,-2.1042,-56.4869,99.45,29,23,3.15,few clouds
346,Pampas,PE,-12.4,-74.9,64.71,38,59,9.51,broken clouds
347,Kumano,JP,34.3442,132.5894,70.72,88,67,6.58,broken clouds
